Timestamp,CPU,%usr,%nice,%sys,%iowait,%irq,%soft,%steal,%guest,%gnice,%idle,,Data from log.data file (Request Time / Requested Resource)
20:50:03,all,6.23,0,21.28,2.34,0,0,0,0,0,70.16,,Timestamp: Tue Nov 25 20:51:53 2014 Data: ugolqbdcdxpslizdhovaltwtuuxxbrdincjatusphvhyrzhbxnaeyfazulhfdnjmhcgqoaekdjluoogmnuhtrsessatgegmhjteh 
20:50:04,all,7.17,0,21.25,1.37,0,0,0,0,0,70.22,,Timestamp: Tue Nov 25 20:51:56 2014 Data: xqwnaclpxbvfkllxodjpbykchomebujrowbsxkdomodhjlwjrnmgfchexnlyevejqsriodhnnquujepxcmzleezhojxzdncejpwz 
20:50:05,all,8.21,0,22.97,0.41,0,0,0,0,0,68.41,,Timestamp: Tue Nov 25 20:51:59 2014 Data: gvvjnoformjzfxyumejvmxyxgpvrl
20:50:06,all,7.97,0,21.85,0.17,0,0.09,0,0,0,69.92,,
20:50:07,all,9,0,23.04,0,0,0,0,0,0,67.96,,
20:50:08,all,9.33,0,21.34,0.08,0,0.08,0,0,0,69.16,,
20:50:09,all,7.48,0,21.58,0.08,0,0,0,0,0,70.86,,
20:50:10,all,8.89,0,22.69,4.75,0,0,0,0,0,63.68,,
20:50:11,all,11.85,0,22.49,4.15,0,0.09,0,0,0,61.42,,
20:50:12,all,13.44,0,23,9.3,0,0.09,0,0,0,54.18,,
20:50:13,all,16.92,0,24.27,3.42,0,0.09,0,0,0,55.3,,
20:50:14,all,15.02,0,25.67,1.85,0,0.08,0,0,0,57.38,,
20:50:15,all,10.56,0,23.9,0.09,0,0.17,0,0,0,65.28,,
20:50:16,all,10.68,0,23.7,0.52,0,0,0,0,0,65.1,,
20:50:17,all,9.69,0,24.13,0,0,0,0,0,0,66.18,,
20:50:18,all,9.37,0,24.11,0.17,0,0,0,0,0,66.35,,
20:50:19,all,11.53,0,23.22,0,0,0,0,0,0,65.25,,
20:50:20,all,11.32,0,24.29,0,0,0,0,0,0,64.39,,
20:50:21,all,11.86,0,27.46,0.17,0,0,0,0,0,60.51,,
20:50:22,all,9.67,0,23.83,0.17,0,0.17,0,0,0,66.15,,
20:50:23,all,9.9,0,23.61,1.91,0,0.17,0,0,0,64.41,,
20:50:24,all,12.32,0,24.63,0,0,0,0,0,0,63.05,,
20:50:25,all,12.8,0,26.04,0,0,0.17,0,0,0,60.99,,
20:50:26,all,10.29,0,25.69,0,0,0.09,0,0,0,63.93,,
20:50:27,all,9.43,0,24.31,0,0,0.09,0,0,0,66.18,,
20:50:28,all,10.31,0,23.74,0,0,0,0,0,0,65.94,,
20:50:29,all,9.38,0,23.61,0,0,0.17,0,0,0,66.84,,
20:50:30,all,9.93,0,24.53,0.26,0,0,0,0,0,65.28,,
20:50:31,all,8.32,0,24.26,0,0,0.17,0,0,0,67.24,,
20:50:32,all,8.74,0,24.21,0.09,0,0,0,0,0,66.96,,
20:50:33,all,9.98,0,24.22,0.09,0,0.09,0,0,0,65.62,,
20:50:34,all,10.02,0,23.32,0,0,0.09,0,0,0,66.58,,
20:50:35,all,10.5,0,23.61,0.26,0,0.09,0,0,0,65.54,,
20:50:36,all,9.71,0,23.66,0,0,0.26,0,0,0,66.38,,
20:50:37,all,10.35,0,24.12,0,0,0,0,0,0,65.53,,
20:50:38,all,12.52,0,23.86,0.34,0,0,0,0,0,63.28,,
20:50:39,all,14.22,0,27.34,0,0,0.17,0,0,0,58.27,,
20:50:40,all,11.17,0,25.54,0.17,0,0.09,0,0,0,63.03,,
20:50:41,all,10.29,0,23.88,0.61,0,0.09,0,0,0,65.14,,
20:50:42,all,8.75,0,24,0.09,0,0.17,0,0,0,66.98,,
20:50:43,all,9.13,0,23.74,0,0,0,0,0,0,67.13,,
20:50:44,all,9.18,0,23.81,0,0,0.09,0,0,0,66.93,,
20:50:45,all,12.09,0,24.09,0,0,0.09,0,0,0,63.73,,
20:50:46,all,13.34,0,25.48,0.17,0,0.09,0,0,0,60.92,,
20:50:47,all,11.2,0,26.15,0,0,0,0,0,0,62.65,,
20:50:48,all,13.71,0,26.32,0,0,0.09,0,0,0,59.88,,
20:50:49,all,10.92,0,24.89,0.17,0,0,0,0,0,64.02,,
20:50:50,all,10.06,0,23.07,2.52,0,0,0,0,0,64.35,,
20:50:51,all,9.5,0,21.28,0.42,0,0,0,0,0,68.8,,
20:50:52,all,19,0,22.48,6.28,0,0.17,0,0,0,52.08,,
20:50:53,all,14.71,0,22.45,3.32,0,0,0,0,0,59.52,,
20:50:54,all,8.33,0,20.69,0.34,0,0,0,0,0,70.64,,
20:50:55,all,6.88,0,21.08,0,0,0,0,0,0,72.03,,
20:50:56,all,8.31,0,21.59,0,0,0,0,0,0,70.09,,
20:50:57,all,8.1,0,21.69,0,0,0.08,0,0,0,70.13,,
20:50:58,all,7.36,0,21.81,0,0,0,0,0,0,70.83,,
20:50:59,all,9.55,0,21.69,0.25,0,0,0,0,0,68.51,,
20:51:00,all,9.26,0,23.28,0.68,0,0,0,0,0,66.78,,
20:51:01,all,7.24,0,22.05,0.09,0,0,0,0,0,70.63,,
20:51:02,all,5.9,0,21.7,0.17,0,0,0,0,0,72.22,,
20:51:03,all,7.59,0,20.86,0.34,0,0,0,0,0,71.21,,
20:51:04,all,15.1,0,24.74,1.65,0,0.09,0,0,0,58.42,,
20:51:05,all,10.72,0,23.28,0.42,0,0,0,0,0,65.58,,
20:51:06,all,8.52,0,22.28,0,0,0,0,0,0,69.2,,
20:51:07,all,7.35,0,21.71,0,0,0.09,0,0,0,70.85,,
20:51:08,all,9.49,0,22.39,0.26,0,0,0,0,0,67.86,,
20:51:09,all,13.92,0,22.37,1.45,0,0.09,0,0,0,62.17,,
20:51:10,all,17.52,0,25.98,3.6,0,0.08,0,0,0,52.81,,
20:51:11,all,11.5,0,25.32,0.35,0,0,0,0,0,62.83,,
20:51:12,all,10.83,0,24.59,0.26,0,0.26,0,0,0,64.06,,
20:51:13,all,9.9,0,21.33,0.51,0,0,0,0,0,68.26,,
20:51:14,all,8.38,0,21.87,0.17,0,0,0,0,0,69.58,,
20:51:15,all,10.79,0,23.38,0.17,0,0.09,0,0,0,65.57,,
20:51:16,all,10.92,0,23.79,0,0,0.25,0,0,0,65.03,,
20:51:17,all,10.87,0,22.26,0,0,0,0,0,0,66.87,,
20:51:18,all,9.47,0,22.03,2.5,0,0.09,0,0,0,65.92,,
20:51:19,all,9.25,0,22.9,0.61,0,0,0,0,0,67.24,,
20:51:20,all,8.57,0,21.73,0,0,0.09,0,0,0,69.61,,
20:51:21,all,8,0,22.53,0,0,0,0,0,0,69.48,,
20:51:22,all,8.21,0,21.69,0,0,0.09,0,0,0,70.01,,
20:51:23,all,7.51,0,22.19,0.35,0,0,0,0,0,69.95,,
20:51:24,all,7.15,0,22.31,0.09,0,0.09,0,0,0,70.37,,
20:51:25,all,7.56,0,21.63,0,0,0.35,0,0,0,70.46,,
20:51:26,all,8.1,0,21.55,0,0,0,0,0,0,70.34,,
20:51:27,all,7.69,0,21.78,0,0,0,0,0,0,70.53,,
20:51:28,all,7.87,0,21.43,0,0,0,0,0,0,70.7,,
20:51:29,all,7.34,0,22.02,0.17,0,0.09,0,0,0,70.38,,
20:51:30,all,7.46,0,22.71,0,0,0,0,0,0,69.84,,
20:51:31,all,7.4,0,22.46,0,0,0,0,0,0,70.14,,
20:51:32,all,7.35,0,21.8,0,0,0.09,0,0,0,70.76,,
20:51:33,all,7.09,0,22.23,0.17,0,0,0,0,0,70.5,,
20:51:34,all,7.08,0,22.35,0,0,0,0,0,0,70.58,,
20:51:35,all,7.54,0,22.53,0,0,0.09,0,0,0,69.84,,
20:51:36,all,8.12,0,21.26,0,0,0,0,0,0,70.61,,
20:51:37,all,8.07,0,21.44,0,0,0,0,0,0,70.49,,
20:51:38,all,7.42,0,22,0.26,0,0.09,0,0,0,70.23,,
20:51:39,all,11.05,0,23.89,0,0,0,0,0,0,65.05,,
20:51:40,all,10.44,0,22.93,0,0,0,0,0,0,66.64,,
20:51:41,all,10.6,0,24.14,0,0,0.09,0,0,0,65.17,,
20:51:42,all,7.61,0,21.95,0,0,0,0,0,0,70.44,,
20:51:43,all,7.81,0,21.6,0.43,0,0.09,0,0,0,70.08,,
20:51:44,all,6.85,0,22.79,0,0,0.09,0,0,0,70.28,,
20:51:45,all,7.83,0,22.03,0,0,0.09,0,0,0,70.05,,
20:51:46,all,7.33,0,21.83,0,0,0.17,0,0,0,70.66,,
20:51:47,all,7.01,0,21.99,0,0,0.09,0,0,0,70.91,,
20:51:48,all,7.23,0,22.38,0.43,0,0.17,0,0,0,69.79,,
20:51:49,all,7.08,0,22.17,0.78,0,0.26,0,0,0,69.72,,
20:51:50,all,7.45,0,21.66,0,0,0.17,0,0,0,70.71,,
20:51:51,all,7.29,0,21.68,0.43,0,0.17,0,0,0,70.42,,
20:51:52,all,7.03,0,21.79,0,0,0,0,0,0,71.18,,
20:51:53,all,6.43,0,23.13,0.43,0,0,0,0,0,70,,
20:51:54,all,8.25,0,21.39,0.26,0,0.09,0,0,0,70.02,,
20:51:55,all,7.84,0,21.72,0,0,0,0,0,0,70.43,,
20:51:56,all,7.27,0,22.15,0,0,0,0,0,0,70.59,,
20:51:57,all,8.8,0,20.71,0,0,0,0,0,0,70.49,,
20:51:58,all,7.03,0,22.03,0.09,0,0,0,0,0,70.86,,
20:51:59,all,7.16,0,22.24,0,0,0,0,0,0,70.6,,
20:52:00,all,7.71,0,21.56,0,0,0.09,0,0,0,70.65,,
20:52:01,all,7.76,0,22.07,0,0,0,0,0,0,70.17,,
20:52:02,all,8.3,0,21.43,0.17,0,0,0,0,0,70.1,,
20:52:03,all,7.09,0,22.21,0.17,0,0,0,0,0,70.53,,
20:52:04,all,7.59,0,21.66,0,0,0,0,0,0,70.75,,
20:52:05,all,6.74,0,22.47,0,0,0.09,0,0,0,70.7,,
20:52:06,all,11.35,0,23.12,0,0,0.08,0,0,0,65.45,,
20:52:07,all,10.76,0,22.46,0,0,0,0,0,0,66.78,,
20:52:08,all,9.05,0,22.54,0.34,0,0,0,0,0,68.06,,
20:52:09,all,8.7,0,23.26,0.17,0,0,0,0,0,67.87,,
20:52:10,all,8.65,0,24.13,0.17,0,0,0,0,0,67.04,,
20:52:11,all,8.3,0,21.95,0.09,0,0,0,0,0,69.66,,
20:52:12,all,8.27,0,21.45,0,0,0,0,0,0,70.28,,
20:52:13,all,8.23,0,21.99,0.17,0,0.17,0,0,0,69.44,,
20:52:14,all,6.78,0,22.59,0,0,0,0,0,0,70.63,,
20:52:15,all,7.88,0,21.73,0,0,0,0,0,0,70.39,,
20:52:16,all,9.09,0,22.38,0,0,0,0,0,0,68.52,,
20:52:17,all,10.96,0,20.99,0,0,0.17,0,0,0,67.88,,
20:52:18,all,11.05,0,22.19,0.42,0,0,0,0,0,66.33,,
20:52:19,all,9.97,0,22.89,0,0,0,0,0,0,67.15,,
20:52:20,all,10.18,0,23.87,0,0,0,0,0,0,65.95,,
20:52:21,all,7.38,0,21.72,0,0,0,0,0,0,70.89,,
20:52:22,all,7.82,0,21.74,0,0,0,0,0,0,70.45,,
20:52:23,all,10.25,0,23.94,0.34,0,0,0,0,0,65.46,,
20:52:24,all,8.62,0,22.24,0.26,0,0,0,0,0,68.88,,
20:52:25,all,5.82,0,12.33,0,0,0,0,0,0,81.85,,
20:52:26,all,2.66,0,1.58,0,0,0,0,0,0,95.75,,
20:52:27,all,2.58,0,1.25,0,0,0.08,0,0,0,96.08,,
20:52:28,all,2.77,0,0.67,0,0,0,0,0,0,96.55,,
20:52:29,all,5.66,0,2,0.08,0,0.17,0,0,0,92.09,,
20:52:30,all,3.52,0,1.59,0.34,0,0,0,0,0,94.56,,
